规则序号,规范实体文本,规范实体类型,ifc_guid,ifc_entity_with_type,对齐标注时间
32,特大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
32,特大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
33,一级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
33,大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
33,大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
34,中桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
34,中桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
35,小桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
35,一级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
35,小桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
36,一级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
36,涵洞,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
36,涵洞,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
36,小型排水构造物,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
37,二级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
37,特大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
37,特大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
38,二级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
38,大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
38,大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
39,中桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
39,二级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
40,小桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
41,二级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
41,涵洞,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
42,特大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
42,特大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
43,大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
43,三级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
44,三级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
44,中桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
44,中桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
45,小桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
45,三级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
46,涵洞,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
46,三级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
47,特大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
47,特大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
47,四级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
48,大桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
48,大桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
49,中桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
50,小桥,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
50,小桥,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
50,四级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
51,四级公路,公路,1TNv6Ty9L0ivEyiBVafqrG,公路 (IfcRoad),
51,涵洞,桥梁结构,3qKZsV4mrF0wOxRjyA8_S3,A大桥左线 (IfcBridge),
51,涵洞,桥梁结构,3EtAD_wPn6E9rLJZ3AnbCn,单幅 (IfcBridge),
