规则序号,实体文本,实体类型,开始位置,结束位置,识别时间
27,特大桥,桥梁结构,5,8,2025-03-25 09:57:57.764156
28,高速公路大桥,桥梁结构,0,6,2025-03-25 09:57:57.768373
29,高速公路,公路,0,4,2025-03-25 09:57:57.772617
29,中桥,桥梁结构,5,7,2025-03-25 09:57:57.772617
30,高速公路,公路,0,4,2025-03-25 09:57:57.782914
30,小桥,桥梁结构,4,6,2025-03-25 09:57:57.782914
31,高速公路,公路,0,4,2025-03-25 09:57:57.793328
31,涵洞,桥梁结构,5,7,2025-03-25 09:57:57.793328
31,小型排水构造物,桥梁结构,8,14,2025-03-25 09:57:57.793328
32,一级公路,公路,0,4,2025-03-25 09:57:57.805643
32,特大桥,桥梁结构,5,8,2025-03-25 09:57:57.805643
33,一级公路,公路,0,4,2025-03-25 09:57:57.813684
33,大桥,桥梁结构,4,6,2025-03-25 09:57:57.813684
34,一级公路,公路,0,4,2025-03-25 09:57:57.821995
34,中桥,桥梁结构,5,7,2025-03-25 09:57:57.821995
35,一级公路,公路,0,4,2025-03-25 09:57:57.829981
35,小桥,桥梁结构,4,6,2025-03-25 09:57:57.829981
36,一级公路,公路,0,4,2025-03-25 09:57:57.838638
36,涵洞,桥梁结构,5,7,2025-03-25 09:57:57.838638
36,小型排水构造物,桥梁结构,8,14,2025-03-25 09:57:57.838638
37,二级公路,公路,0,4,2025-03-25 09:57:57.850045
37,特大桥,桥梁结构,5,8,2025-03-25 09:57:57.850045
38,二级公路,公路,0,4,2025-03-25 09:57:57.855502
38,大桥,桥梁结构,6,8,2025-03-25 09:57:57.855502
39,二级公路,公路,0,4,2025-03-25 09:57:57.859474
39,中桥,桥梁结构,5,7,2025-03-25 09:57:57.859474
40,二级公路,公路,0,4,2025-03-25 09:57:57.867239
40,小桥,桥梁结构,5,7,2025-03-25 09:57:57.867239
41,二级公路,公路,0,4,2025-03-25 09:57:57.874100
41,涵洞,桥梁结构,5,7,2025-03-25 09:57:57.874100
41,小型排水构造物,桥梁结构,9,16,2025-03-25 09:57:57.874100
42,特大桥,桥梁结构,5,8,2025-03-25 09:57:57.881785
42,三级公路,公路,0,4,2025-03-25 09:57:57.881785
43,三级公路,公路,0,4,2025-03-25 09:57:57.888674
43,大桥,桥梁结构,6,8,2025-03-25 09:57:57.888674
44,三级公路,公路,0,4,2025-03-25 09:57:57.892633
44,中桥,桥梁结构,5,7,2025-03-25 09:57:57.892633
45,三级公路,公路,0,4,2025-03-25 09:57:57.899854
45,小桥,桥梁结构,4,6,2025-03-25 09:57:57.899854
46,三级公路,公路,0,4,2025-03-25 09:57:57.907560
46,涵洞,桥梁结构,4,6,2025-03-25 09:57:57.907560
46,小型排水构造物,桥梁结构,7,13,2025-03-25 09:57:57.907560
47,四级公路,公路,0,4,2025-03-25 09:57:57.919061
47,特大桥,桥梁结构,5,8,2025-03-25 09:57:57.919061
48,四级公路,公路,0,4,2025-03-25 09:57:57.927474
48,大桥,桥梁结构,4,6,2025-03-25 09:57:57.927474
49,四级公路,公路,0,4,2025-03-25 09:57:57.937866
49,中桥,桥梁结构,5,7,2025-03-25 09:57:57.937866
50,四级公路,公路,0,4,2025-03-25 09:57:57.946997
50,小桥,桥梁结构,5,7,2025-03-25 09:57:57.946997
51,四级公路,公路,0,4,2025-03-25 09:57:57.954673
51,涵洞,桥梁结构,5,7,2025-03-25 09:57:57.954673
51,小型排水构造物,桥梁结构,8,14,2025-03-25 09:57:57.954673
