规则序号,judgment_result,IFC实体组,
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ah"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216019 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ap"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216011 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ar"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216013 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_at"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216015 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_bn"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215945 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_bp"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215947 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_br"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215949 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_bv"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215937 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_bx"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215939 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_c1"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215929 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_c7"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215935 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_cD"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215925 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_d9"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215857 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_dB"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215859 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_dH"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215849 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_dP"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215841 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_dR"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215843 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_dT"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215845 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_dZ"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215835 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_fu"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215168 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_g6"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215166 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_gf"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215121 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_iX"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215513 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_if"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215505 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ij"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215509 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ip"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215499 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ix"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215491 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_iz"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215493 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_k0"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215416 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_kq"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215372 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_lI"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:215338 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_uR"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216291 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_uV"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216295 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_uX"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216281 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_uZ"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216283 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ub"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216285 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ud"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216287 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_uf"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216273 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_uj"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216277 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ul"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216279 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_ut"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216271 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_v$"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216199 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_vp"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216203 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_vt"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216207 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_vx"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216195 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_w5"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216189 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_w7"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216191 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_wF"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216183 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_x1"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216121 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_x9"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216113 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_xB"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216115 (IfcColumn)""}]",
28,"不合规","[{""guid"": ""2OibT2UMLBYgfonVRELIuz"", ""type"": "" (IfcBuilding)""}, {""guid"": ""0gKFhH4357pRQxVB7vb_xH"", ""type"": ""混凝土 - 矩形 - 柱:500 x 500mm 2:216105 (IfcColumn)""}]",
