规则序号,规范实体文本,规范实体类型,ifc_guid,ifc_entity_with_type,对齐标注时间
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJjO,混凝土 - 矩形 - 柱:500 x 500mm 2:217066 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJjQ,混凝土 - 矩形 - 柱:500 x 500mm 2:217064 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJjK,混凝土 - 矩形 - 柱:500 x 500mm 2:217062 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJjM,混凝土 - 矩形 - 柱:500 x 500mm 2:217060 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJjG,混凝土 - 矩形 - 柱:500 x 500mm 2:217058 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJi9,混凝土 - 矩形 - 柱:500 x 500mm 2:217019 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJiB,混凝土 - 矩形 - 柱:500 x 500mm 2:217017 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJi5,混凝土 - 矩形 - 柱:500 x 500mm 2:217015 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJi7,混凝土 - 矩形 - 柱:500 x 500mm 2:217013 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJi1,混凝土 - 矩形 - 柱:500 x 500mm 2:217011 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJi3,混凝土 - 矩形 - 柱:500 x 500mm 2:217009 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJiT,混凝土 - 矩形 - 柱:500 x 500mm 2:217007 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJiV,混凝土 - 矩形 - 柱:500 x 500mm 2:217005 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJiP,混凝土 - 矩形 - 柱:500 x 500mm 2:217003 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJiR,混凝土 - 矩形 - 柱:500 x 500mm 2:217001 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJiL,混凝土 - 矩形 - 柱:500 x 500mm 2:216999 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJiN,混凝土 - 矩形 - 柱:500 x 500mm 2:216997 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJiH,混凝土 - 矩形 - 柱:500 x 500mm 2:216995 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJlP,混凝土 - 矩形 - 柱:500 x 500mm 2:216939 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJlI,混凝土 - 矩形 - 柱:500 x 500mm 2:216928 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJlZ,混凝土 - 矩形 - 柱:500 x 500mm 2:216913 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJls,混凝土 - 矩形 - 柱:500 x 500mm 2:216900 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJk7,混凝土 - 矩形 - 柱:500 x 500mm 2:216885 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJkQ,混凝土 - 矩形 - 柱:500 x 500mm 2:216872 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJkh,混凝土 - 矩形 - 柱:500 x 500mm 2:216857 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJk_,混凝土 - 矩形 - 柱:500 x 500mm 2:216844 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJfF,混凝土 - 矩形 - 柱:500 x 500mm 2:216829 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJf2,混凝土 - 矩形 - 柱:500 x 500mm 2:216816 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJem,混凝土 - 矩形 - 柱:500 x 500mm 2:216706 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJh1,混凝土 - 矩形 - 柱:500 x 500mm 2:216691 (IfcColumn),53:12.2
28,柱,建筑物构件,2TJvWVuN51mepwyN3rKJao,混凝土 - 矩形 - 柱:500 x 500mm 2:216448 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$5,混凝土 - 矩形 - 柱:500 x 500mm 2:216381 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$3,混凝土 - 矩形 - 柱:500 x 500mm 2:216379 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$1,混凝土 - 矩形 - 柱:500 x 500mm 2:216377 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$F,混凝土 - 矩形 - 柱:500 x 500mm 2:216375 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$D,混凝土 - 矩形 - 柱:500 x 500mm 2:216373 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$B,混凝土 - 矩形 - 柱:500 x 500mm 2:216371 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$9,混凝土 - 矩形 - 柱:500 x 500mm 2:216369 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$N,混凝土 - 矩形 - 柱:500 x 500mm 2:216367 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$L,混凝土 - 矩形 - 柱:500 x 500mm 2:216365 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$J,混凝土 - 矩形 - 柱:500 x 500mm 2:216363 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$H,混凝土 - 矩形 - 柱:500 x 500mm 2:216361 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$V,混凝土 - 矩形 - 柱:500 x 500mm 2:216359 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_$T,混凝土 - 矩形 - 柱:500 x 500mm 2:216357 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_uV,混凝土 - 矩形 - 柱:500 x 500mm 2:216295 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_uT,混凝土 - 矩形 - 柱:500 x 500mm 2:216293 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_uR,混凝土 - 矩形 - 柱:500 x 500mm 2:216291 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_uP,混凝土 - 矩形 - 柱:500 x 500mm 2:216289 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_ud,混凝土 - 矩形 - 柱:500 x 500mm 2:216287 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_ub,混凝土 - 矩形 - 柱:500 x 500mm 2:216285 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_uZ,混凝土 - 矩形 - 柱:500 x 500mm 2:216283 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_uX,混凝土 - 矩形 - 柱:500 x 500mm 2:216281 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_ul,混凝土 - 矩形 - 柱:500 x 500mm 2:216279 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_uj,混凝土 - 矩形 - 柱:500 x 500mm 2:216277 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_uh,混凝土 - 矩形 - 柱:500 x 500mm 2:216275 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_uf,混凝土 - 矩形 - 柱:500 x 500mm 2:216273 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_ut,混凝土 - 矩形 - 柱:500 x 500mm 2:216271 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_vt,混凝土 - 矩形 - 柱:500 x 500mm 2:216207 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_vr,混凝土 - 矩形 - 柱:500 x 500mm 2:216205 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_vp,混凝土 - 矩形 - 柱:500 x 500mm 2:216203 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_vn,混凝土 - 矩形 - 柱:500 x 500mm 2:216201 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_v$,混凝土 - 矩形 - 柱:500 x 500mm 2:216199 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_vz,混凝土 - 矩形 - 柱:500 x 500mm 2:216197 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_vx,混凝土 - 矩形 - 柱:500 x 500mm 2:216195 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_vv,混凝土 - 矩形 - 柱:500 x 500mm 2:216193 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_w7,混凝土 - 矩形 - 柱:500 x 500mm 2:216191 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_w5,混凝土 - 矩形 - 柱:500 x 500mm 2:216189 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_w3,混凝土 - 矩形 - 柱:500 x 500mm 2:216187 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_w1,混凝土 - 矩形 - 柱:500 x 500mm 2:216185 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_wF,混凝土 - 矩形 - 柱:500 x 500mm 2:216183 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_x1,混凝土 - 矩形 - 柱:500 x 500mm 2:216121 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_xF,混凝土 - 矩形 - 柱:500 x 500mm 2:216119 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_xD,混凝土 - 矩形 - 柱:500 x 500mm 2:216117 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_xB,混凝土 - 矩形 - 柱:500 x 500mm 2:216115 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_x9,混凝土 - 矩形 - 柱:500 x 500mm 2:216113 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_xN,混凝土 - 矩形 - 柱:500 x 500mm 2:216111 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_xL,混凝土 - 矩形 - 柱:500 x 500mm 2:216109 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_xJ,混凝土 - 矩形 - 柱:500 x 500mm 2:216107 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_xH,混凝土 - 矩形 - 柱:500 x 500mm 2:216105 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_xV,混凝土 - 矩形 - 柱:500 x 500mm 2:216103 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_xT,混凝土 - 矩形 - 柱:500 x 500mm 2:216101 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_xR,混凝土 - 矩形 - 柱:500 x 500mm 2:216099 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_xP,混凝土 - 矩形 - 柱:500 x 500mm 2:216097 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_aR,混凝土 - 矩形 - 柱:500 x 500mm 2:216035 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_aP,混凝土 - 矩形 - 柱:500 x 500mm 2:216033 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_ad,混凝土 - 矩形 - 柱:500 x 500mm 2:216031 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_ab,混凝土 - 矩形 - 柱:500 x 500mm 2:216029 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_aZ,混凝土 - 矩形 - 柱:500 x 500mm 2:216027 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_aX,混凝土 - 矩形 - 柱:500 x 500mm 2:216025 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_al,混凝土 - 矩形 - 柱:500 x 500mm 2:216023 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_aj,混凝土 - 矩形 - 柱:500 x 500mm 2:216021 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_ah,混凝土 - 矩形 - 柱:500 x 500mm 2:216019 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_af,混凝土 - 矩形 - 柱:500 x 500mm 2:216017 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_at,混凝土 - 矩形 - 柱:500 x 500mm 2:216015 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_ar,混凝土 - 矩形 - 柱:500 x 500mm 2:216013 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_ap,混凝土 - 矩形 - 柱:500 x 500mm 2:216011 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_br,混凝土 - 矩形 - 柱:500 x 500mm 2:215949 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_bp,混凝土 - 矩形 - 柱:500 x 500mm 2:215947 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_bn,混凝土 - 矩形 - 柱:500 x 500mm 2:215945 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_b$,混凝土 - 矩形 - 柱:500 x 500mm 2:215943 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_bz,混凝土 - 矩形 - 柱:500 x 500mm 2:215941 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_bx,混凝土 - 矩形 - 柱:500 x 500mm 2:215939 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_bv,混凝土 - 矩形 - 柱:500 x 500mm 2:215937 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_c7,混凝土 - 矩形 - 柱:500 x 500mm 2:215935 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_c5,混凝土 - 矩形 - 柱:500 x 500mm 2:215933 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_c3,混凝土 - 矩形 - 柱:500 x 500mm 2:215931 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_c1,混凝土 - 矩形 - 柱:500 x 500mm 2:215929 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_cF,混凝土 - 矩形 - 柱:500 x 500mm 2:215927 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_cD,混凝土 - 矩形 - 柱:500 x 500mm 2:215925 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_dB,混凝土 - 矩形 - 柱:500 x 500mm 2:215859 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_d9,混凝土 - 矩形 - 柱:500 x 500mm 2:215857 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_dN,混凝土 - 矩形 - 柱:500 x 500mm 2:215855 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_dL,混凝土 - 矩形 - 柱:500 x 500mm 2:215853 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_dJ,混凝土 - 矩形 - 柱:500 x 500mm 2:215851 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_dH,混凝土 - 矩形 - 柱:500 x 500mm 2:215849 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_dV,混凝土 - 矩形 - 柱:500 x 500mm 2:215847 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_dT,混凝土 - 矩形 - 柱:500 x 500mm 2:215845 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_dR,混凝土 - 矩形 - 柱:500 x 500mm 2:215843 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_dP,混凝土 - 矩形 - 柱:500 x 500mm 2:215841 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_dd,混凝土 - 矩形 - 柱:500 x 500mm 2:215839 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_db,混凝土 - 矩形 - 柱:500 x 500mm 2:215837 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_dZ,混凝土 - 矩形 - 柱:500 x 500mm 2:215835 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_Wb,混凝土 - 矩形 - 柱:500 x 500mm 2:215773 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_WZ,混凝土 - 矩形 - 柱:500 x 500mm 2:215771 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_WX,混凝土 - 矩形 - 柱:500 x 500mm 2:215769 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_Wl,混凝土 - 矩形 - 柱:500 x 500mm 2:215767 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_Wj,混凝土 - 矩形 - 柱:500 x 500mm 2:215765 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_Wh,混凝土 - 矩形 - 柱:500 x 500mm 2:215763 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_Wf,混凝土 - 矩形 - 柱:500 x 500mm 2:215761 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_Wt,混凝土 - 矩形 - 柱:500 x 500mm 2:215759 (IfcColumn),53:12.2
28,柱,建筑物构件,0gKFhH4357pRQxVB7vb_Wr,混凝土 - 矩形 - 柱:500 x 500mm 2:215757 (IfcColumn),53:12.2
